year,month,ai_targetable,non_automatable,ai_targetable_index,non_automatable_index,displacement_gap
2022,08,56577.0,38311.96,100.0,100.0,0.0
2022,09,55714.0,37936.60999999999,98.47464517383389,99.02027982906641,0.5456346552325186
2022,10,56014.0,38016.55,99.00489598246638,99.22893529853341,0.2240393160670351
2022,11,56196.0,37997.130000000005,99.32658147303674,99.17824616647127,-0.14833530656547111
2022,12,56737.0,37963.869999999995,100.28280043127064,99.09143254482412,-1.1913678864465282
2023,01,56968.0,37095.280000000006,100.69109355391768,96.82428150373931,-3.8668120501783676
2023,02,56886.0,37288.04,100.54615833289147,97.3274142069474,-3.2187441259440703
2023,03,56785.0,37570.310000000005,100.36764056065186,98.06418152451612,-2.3034590361357488
2023,04,57065.0,38043.89000000001,100.86254131537551,99.30029682636965,-1.562244489005863
2023,05,56589.0,38694.27,100.0212100323453,100.99788682176532,0.9766767894200257
2023,06,56719.0,39425.33,100.2509853827527,102.90606379835437,2.6550784156016647
2023,07,57347.0,39528.91,101.36097707549003,103.17642323702574,1.8154461615357178
2023,08,57382.0,39471.36,101.4228396698305,103.0262090480362,1.6033693782056986
2023,09,56884.0,39023.96,100.54262332750056,101.85842749888026,1.3158041713796962
2023,10,55913.0,39077.01,98.82637821022678,101.99689600845272,3.1705177982259443
2023,11,56500.0,38944.64,99.863902292451,101.65139032302184,1.7874880305708416
2023,12,56281.0,38906.49,99.47681920214929,101.55181306307482,2.074993860925531
2024,01,55708.0,37939.740000000005,98.46404015766123,99.02844960163877,0.5644094439775387
2024,02,55703.0,38142.45,98.45520264418404,99.5575533071135,1.102350662929453
2024,03,55887.0,38513.97,98.78042314014529,100.52727659978764,1.7468534596423524
2024,04,55920.0,38943.25,98.83875072909485,101.64776221315745,2.8090114840625944
2024,05,55393.0,39560.84,97.90727680859713,103.25976535786737,5.352488549270234
2024,06,55887.0,40102.45,98.78042314014529,104.6734492309973,5.893026090852018
2024,07,56043.0,40183.81,99.05615356063417,104.88581111485813,5.829657554223957
2024,08,56021.0,40140.2,99.01726850133447,104.7719824305517,5.754713929217232
2024,09,55418.0,39717.77,97.95146437598318,103.66937635140567,5.717911975422496
2024,10,55390.0,39637.68,97.9019743005108,103.46032935929146,5.558355058780663
2024,11,55879.0,39592.759999999995,98.76628311858175,103.34308137719917,4.576798258617416
2024,12,57291.0,39621.740000000005,101.26199692454531,103.41872355264519,2.156726628099875
2025,01,56960.0,38625.54,100.67695353235413,100.8184911448018,0.14153761244766372
2025,02,57575.0,38743.009999999995,101.76396769005073,101.12510558060718,-0.6388621094435507
2025,03,57090.0,38981.29,100.90672888276156,101.74705235649651,0.840323473734955
2025,04,56320.0,39375.89000000001,99.54575180727151,102.77701793382539,3.2312661265538765
2025,05,56418.0,40028.219999999994,99.71896707142479,104.47969772363513,4.760730652210341
2025,06,57477.0,40566.37,101.59075242589746,105.88435047436884,4.293598048471381
2025,07,57659.0,40662.44,101.91243791646782,106.13510767916861,4.222669762700789
2025,08,56773.0,40586.58,100.34643052830657,105.93710162570645,5.590671097399877
2025,09,56904.0,40102.350000000006,100.57797338140941,104.67318821589917,4.0952148344897665
2025,11,58304.0,39887.3,103.05247715502766,104.11187524731183,1.0593980922841695
2025,12,57308.0,39853.65,101.29204447036781,104.02404366678186,2.7319991964140513
2026,01,56348.0,38960.579999999994,99.59524188274386,101.69299612966812,2.0977542469242536
2026,02,56927.0,38932.689999999995,100.61862594340457,101.62019901879202,1.001573075387455
